,Scenario,Action,Label,Decision_x,Decision_y,WTH,Motivation_reward,Motivation_cost,Motivation_label,Semantic_x,Semantic_y,Semantic_label
S80,"Early in the morning, you notice a tourist in downtown looking confused and frustrated, as most shops are still closed. You know a few interesting places that are open at this time and could help make their morning enjoyable.",The tourist hopes a local resident can offer them some travel tips.,share travel tips,0.262240185,0.299988527,1.704761905,-1.010184405,-0.743173395,3,3.7568684,5.1773024,Street Encounter
S81,"At a self-serve gas station, you start pumping gas into your car. As you do, you notice the driver at the pump behind you looking confused and struggling with how to operate the pump. They are unsure of how to get gas into their tank and look around for assistance.",The driver is looking around to see if someone can teach them how to pump.,teach other how to pump gas,-0.455579925,0.134778046,2.078431373,-0.207614403,-1.696172895,3,5.3747826,2.166515,Mobility Prosociality
S82,"Recently, you notice one of the apartment resident's dog barks frequently during the day when they're at work. Another resident in the building is very annoyed and plans to report it to the leasing office if the bark continues. If receive complaints, the dog owner may be prohibited from keeping the dog in the apartment.",It will be helpful if someone can notify the dog owner that they'd better control their dog.,notify dog barks,1.182855649,-0.435429688,0.514018692,-0.643307295,-0.125987912,3,4.712563,7.258255,Community Issues
S83,"Walking on a busy street, you see a man persistently harassesing a woman, repeatedly asking for her phone number. The woman looks visibly nervous and uncomfortable, glancing around for help. She wants to escape, but the man continues to press her.",The woman wants someone to intervene and stop the man from harassing her.,stop harassment,0.470447344,0.957587712,2.075471698,1.514872993,1.265416324,2,5.2650776,4.4825335,Crime
S84,"Walking back home, you see a teenager struggling to carry several heavy bags of groceries. The teenager lives not far from you and is heading back home. The bags weigh them down, making each step difficult and slow. They stop frequently to adjust their grip.",The teenager wants someone to help carry some bags to their home.,carry heavy bag home,0.030511629,-0.333386586,1.349514563,-0.611462464,0.042726177,3,2.6197147,3.2015772,(Heavy) Belongings
S85,"You got up late, and are in a rush to drive to work. While driving, you notice a pregnant woman with big belly standing by the side of the road. She is waving at incoming cars. She looks in pain, clearly in labor and needing to get to the hospital quickly.",The woman is in labor and needs a ride to get to the hospital quickly.,give ride to pregnant woman,0.266300504,0.714699706,2.037735849,1.26947617,1.762667731,2,4.9759526,3.383963,Vulnerable Group
S86,"It’s a dark, quiet night, and you see a woman walking alone in a dimly lit street. She looks visibly nervous, glancing over her shoulder repeatedly. You notice a man wearing a black cap following her at a steady distance. The sound of his footsteps matches hers, creating a chilling sense of being stalked. ",The woman wants someone to walk together to a well-lit area.,protect a single night walker,-0.188931635,1.167080466,2.466666667,0.601427007,0.517533948,2,5.314342,4.4181857,Crime
S87,"While waiting in a long line for a concert, a couple behind you is struggling to access their tickets by entering the confirmation code to their mobile app due to a network issue. Luckily, you have a strong internet connection to use your app. If they get a picture of their ticket QR code, they will be able to get into the concert.",The couple wants someone with good internet connection to help them access the tickets.,check ticket online,0.770737504,0.721070422,1.653061224,-0.112708644,-0.335254126,3,1.9408361,5.1959214,Commercial Area
S88,"You are walking on a busy city street, a few people close to you are going to cross the street. One of them steps off the curb, but doesn't notice an incoming car speeding towards them. Given the speed, the pedestrian is likely to be hit.",It will be helpful to alert the pedestrian and pull them back to the side walk.,save person from being hit,-1.12028579,2.137763723,3.942307692,1.910861772,0.174836512,2,5.0839467,2.926628,Safety
S89,"While driving on the freeway, you notice some strange smoke rising from a car ahead, and looks like it's overheating. The driver activates the emergency flashers, moves to the shoulder and stops. It's their first time facing this problem, and the driver needs help.","The driver wants someone to stop, help check the situation, and call the roadside assistance.",car overheat assistance,1.321528454,-1.587802287,-0.2,0.0803662,0.888485007,2,5.7620673,2.3120322,Mobility Prosociality
S90,"You are in a crowded concert, the music is loud, and the energy is high. Suddenly, a person sit nearby collapses, passing out amidst the throng of attendees. Many people around are still enjoying the music and do not notice this situation.",Someone needs to check this person's situation and notify the surrounding attendees.,person passout in concert,-1.318284259,1.862465396,3.628571429,1.377320188,0.205330505,2,6.2992043,3.509649,Safety
S91,"While in a convenience store, you notice a tourist trying to ask the staff a question. However, the tourist speaks a different language so the staff can't understand. Both parties are increasingly frustrated. Although you don't understand either, you recognize the tourist is speaking Japanese, and you realize you have a translator app in your phone.",It will be helpful for the tourist and the staff if they can use your translator for communication.,translate for tourist,-0.279796564,-0.046808595,1.647619048,-0.277144299,0.611756868,1,2.5033202,5.6351266,Commercial Area
S92,"You are walking along a pedestrian path when you suddenly encounter a roadblock left over from previous construction, leaving only a small space to pass. You manage to squeeze through, but then notice a wheelchair user approaching behind you.",It will be helpful to go back and remove the roadblock for the wheelchair user to pass.,remove road block for wheelchair,-0.418549015,1.623131358,2.692307692,1.179930679,-0.876441487,4,4.3204746,2.9332502,Vulnerable Group
S93,"During the pandemic, most people stay home, making grocery shopping hard, especially or the elderly residents. Your community plans to deliver pre-assembled grocery packages from a nearby store to the elderly, ensuring they get the essentials safely. The community is looking for volunteers for the next two delivery (once per week).",Your community needs a volunteer to help with the next two grocery deliveries (each per week) to one elderly resident.,deliver grocery to the elderly,0.325899857,-0.990151503,0.656565657,0.428276576,0.592483799,2,3.8461006,8.412893,Community Welfare
S94,"In your neighborhood, a few elderly residents live alone. To support them, your community is organizing an event this Sunday afternoon to visit and chat with them, offering companionship and showing they are not forgotten. You are free at that time.",Your community is looking for volunteers to visit and chat with the elderly residents this Sunday afternoon.,companinship to lonely elderly,0.85125823,-0.658461596,0.542857143,0.075392944,0.977625305,2,3.8094504,8.31647,Community Welfare
S95,"While walking in your neighborhood, you notice a dog growling at a kid. The kid looks terrified, standing frozen in place with wide eyes and trembling hands. You look around, the dog owner is preoccupied with a phone call.",It will be helpful if someone can alert the dog owner and reassure the kid.,deal with an aggressive dog,-0.774643133,1.960384192,3.524271845,1.443391897,-0.210664131,4,4.407611,6.2689567,Pet Care and Issues
S96,"While driving through a residential area, you notice a person walking with a big bag. Suddenly, the bag tears apart, spilling its contents onto the ground. You remember you have a few plastic bags in your car trunk.",The person hopes a passer-by  can stop and give a bag to them.,give a spare bag,-1.018359496,0.158227807,1.912621359,-0.014310368,-0.906990693,3,2.678818,3.6803071,(Heavy) Belongings
S97,"You are in a building to conduct some business. While waiting in the lobby, you notice a person struggling to open a heavy door while carrying a large box. The door’s weight makes it difficult for them to manage both tasks at once. ",The person wants someone to hold the door for them.,open a heavy door,-1.696070045,2.285101577,4.102803738,0.191878215,-2.138400445,4,2.9326317,2.578793,(Heavy) Belongings
S98,"While walking down the street, you notice a person collecting plastic bottles and cans into a big bag for recycling. They rely on this to make a living. As you continue, you see an empty can near your feet. The recycler hasn’t noticed it yet and it’s within easy reach for you.",It will be helpful if someone can pick up the can for the recycling person.,pick up can to recycle,0.152319687,0.901100752,2.106796117,-1.087086016,-1.323240675,3,2.4616084,3.910191,Street Encounter
S99,"You are driving to the airport to catch an important flight when you notice a grass fire burning on an unoccupied farm. The flames are spreading quickly, and the smoke is rising high into the sky. It is very dangerous if left unattended.","To control the flame and avoid loss of nearby residents, someone needs to call the fire department.",report fire on the way to airport,-0.869421616,1.9777081,3.457142857,1.679751599,-0.828943815,4,6.108219,2.363449,Safety
S100,"While browsing in a jewelry shop, two masked individuals suddenly burst into the store, holding a big knife and demanding valuables. The staff members, though clearly frightened, are bravely defending the shop. They try to protect the customers and toss whatever they have to the robbers. Luckily you escape and are in a safe place.",The jewelry shop staff wants someone to call the police.,report to the police about robbery,-1.331399397,2.4704468,4.242718447,1.411965499,0.748187566,2,3.9826853,3.9844913,Crime
